Ticker,Total_Score,Momentum_Score,Grading,Peak_Mark,Cum_Buy_%,Price,Buy_1h_%,Buy_6h_%,Buy_1d_%,Buy_3d_%,Short_Term,Medium_Term,Long_Term,Avg_Vol,Peak_Price
VOX,41.12,27.86,45.25,73.5,46.08,188.53,50.78,43.06,45.34,51.23,25.86,68.76,40.45,369566,200.3
ASCE,40.96,37.41,41.46,52.67,57.85,32.75,47.23,60.5,60.5,60.5,48.79,50.0,22.95,87566,32.97
HEGD,40.87,25.86,49.94,55.58,47.73,26.51,41.02,50.93,50.93,50.93,24.76,84.19,39.36,60533,26.89
BKLN,40.86,28.66,48.34,52.31,61.04,20.46,77.99,56.91,55.04,51.32,43.83,29.62,75.45,9719433,20.58
AMOM,40.76,31.97,42.62,66.6,53.79,57.6,53.79,53.79,53.79,53.79,26.31,90.78,5.45,4466,60.09
BKSE,40.64,22.93,51.52,57.05,54.49,125.34,54.49,54.49,54.49,54.49,39.48,92.13,18.19,1100,127.59
QVMT,40.57,18.04,55.16,57.76,53.41,65.89,57.98,52.27,52.27,52.27,35.98,98.89,26.51,11366,67.19
ANGL,40.29,21.09,53.15,52.83,49.6,28.94,48.4,48.06,48.18,53.7,58.11,49.97,51.06,584033,29.15
AOM,39.75,23.86,49.42,54.98,49.63,49.2,39.84,49.65,53.02,54.92,34.8,71.46,40.77,133166,49.82
ACIO,39.74,25.07,48.09,56.67,60.02,45.99,45.5,64.62,63.94,62.6,21.73,71.03,52.08,141466,46.77
HDEF,39.71,27.92,42.55,72.63,49.21,32.17,34.84,64.16,63.9,62.13,15.22,72.02,40.04,243500,34.1
QVML,38.85,19.14,51.25,55.73,73.29,43.72,73.29,73.29,73.29,73.29,23.48,92.33,35.71,3033,44.35
AFIF,38.46,27.11,41.58,68.26,75.51,9.41,86.21,72.84,72.84,72.84,48.21,35.15,41.36,110133,9.86
ABFL,37.6,25.27,43.67,56.53,64.66,81.37,67.06,64.06,64.06,64.06,28.92,70.47,29.6,11833,82.72
ARP,37.59,20.64,44.87,69.0,58.75,32.38,58.75,58.75,58.75,58.75,6.61,87.05,40.31,5133,34.0
ACVF,37.48,22.79,45.69,55.2,49.37,53.1,49.37,49.37,49.37,49.37,34.0,75.95,24.04,7933,53.8
DOCT,37.39,14.74,52.49,52.47,57.34,46.27,57.34,57.34,57.34,57.34,30.33,83.19,42.52,4400,46.56
QUS,37.04,13.76,52.27,53.97,49.94,183.96,44.12,51.39,51.39,51.39,35.03,82.55,37.07,12466,185.81
APRH,36.91,16.32,50.39,51.89,52.46,25.32,52.46,52.46,52.46,52.46,36.86,72.44,40.45,2466,25.44
BKMI,36.45,16.79,48.41,55.28,45.51,26.31,45.51,45.51,45.51,45.51,58.74,50.0,34.51,94666,26.66
ARLU,35.87,20.36,44.35,55.48,52.87,31.65,52.87,52.87,52.87,52.87,22.27,75.14,34.18,3233,32.09
QTOC,35.34,22.79,41.44,55.09,73.83,37.3,73.83,73.83,73.83,73.83,19.77,87.38,13.12,2533,37.78
RFDI,35.05,18.9,41.69,66.42,66.41,85.22,66.41,66.41,66.41,66.41,24.85,85.1,10.68,4533,88.87
DMBS,34.94,20.15,42.08,58.43,55.67,48.62,57.43,56.33,50.92,50.92,45.03,36.91,44.67,80066,49.67
APRT,34.05,7.97,51.36,51.79,76.29,45.45,76.29,76.29,76.29,76.29,25.19,91.84,34.65,1933,45.65
AGGS,34.0,18.0,42.19,57.02,50.8,40.52,50.8,50.8,50.8,50.8,55.89,29.97,40.45,3233,41.25
ACLO,33.44,4.1,53.55,50.22,95.36,50.35,95.36,95.36,95.36,95.36,50.5,65.36,43.34,23966,50.38
APRW,32.95,7.2,49.83,51.59,65.67,36.88,65.67,65.67,65.67,65.67,27.88,79.22,41.16,11266,37.03
AINP,32.57,17.05,40.86,53.24,74.71,24.95,74.71,74.71,74.71,74.71,47.05,34.29,41.29,24266,25.15
AOCT,32.07,11.92,44.52,50.37,72.86,27.19,72.86,72.86,72.86,72.86,33.78,58.76,40.45,1866,27.22
BKMS,30.55,7.43,44.91,51.22,48.31,25.49,48.31,48.31,48.31,48.31,56.56,50.0,25.37,42866,25.57
BKUI,30.27,8.01,44.15,49.88,60.32,49.67,60.26,60.33,60.33,60.33,52.15,36.43,43.83,29533,49.66
AUSM,28.65,2.9,44.42,52.77,83.33,25.07,83.33,83.33,83.33,83.33,57.24,50.0,22.95,1433,25.24
DOCK,,,49.67,42.5,100.0,27.15,100.0,100.0,100.0,100.0,72.23,50.0,22.95,3166,26.65
BHYP,,,42.37,89.41,58.81,32.76,74.93,51.3,46.33,46.16,51.39,50.0,22.95,747366,36.34
